24C24642-2EC8-479B-88A4-004266A7A930,6353556F-40FB-453B-B8C4-F38744C69B54,SC649,Maize
69BF528B-12F8-4B98-8ABB-0069F4699790,251358CD-F9F7-46D3-9212-A4709ADF6418,NICASS 4,Cassava
EC12A951-552E-477C-A241-009C15882F65,2B2F6920-A28E-4A85-A968-40EC1A613565,Sokoyokoto (soko-funfun),Sokoyokoto
85DC6919-F6A7-456C-967F-0148F8044B05,12074FE8-29E3-49EE-92FA-75BB85983CC8,SAMIL-2,Pearl Millet
74570159-B6AC-4DF6-A3D5-019AC065B3CE,6353556F-40FB-453B-B8C4-F38744C69B54,NARZH-2,Maize
DF968E5B-40D5-47DE-877E-0227B93F7307,B889043F-EAA0-448C-B0D1-71C1ED149AAB,SAMSORG 46,Sorghum
8EF6098F-AD4C-43A7-9049-02C950112ED9,11C83765-2DE6-4DE1-9714-1E62ADB695E8,NIFOR Hybrid,Coconut
CEF16F13-9677-4C50-8FE9-02CFD2D52AB3,171B61AF-0AF2-4B2A-8BF9-3EAACDB3EEF3,LACRI WHIT-9,Wheat
CD0CFC9C-893D-4A4B-8388-03E339C26A7E,C695366D-5862-4486-B138-B3B368A717D0,Wynn Cassia,Forage Legume
5F956F0F-098D-4F0A-BE37-0452B6018F1C,6353556F-40FB-453B-B8C4-F38744C69B54,SC719,Maize
48041A9B-6D43-46E9-B8E4-04B5C30D1E20,B889043F-EAA0-448C-B0D1-71C1ED149AAB,SAMSORG-7,Sorghum
3FF8A7FA-4732-412C-B4CF-04D208D8489B,751114EC-0C58-4B77-9BA6-DD7DA51181FB,SAMNUT-12,Groundnut
1D883AD9-0CDC-44C3-AD84-0517D9F98659,E9155862-1684-43FC-B386-EC9FEB7AE61B,TGX-536-02D,Soybean
AB3694A1-8A82-4147-A21D-054155F86836,12074FE8-29E3-49EE-92FA-75BB85983CC8,SAMIL-7,Pearl Millet
B799CF1D-8638-4497-AA00-0544DB51B279,C695366D-5862-4486-B138-B3B368A717D0,ILRI-9857,Forage Legume
3DDDF6CD-10B8-433D-B4C6-05D30A8BAC87,A7141777-9A95-4699-88FD-D959D28AB30B,IT89KD-374,Cowpea
8F432702-625D-4CA7-8471-0622C66F8510,6353556F-40FB-453B-B8C4-F38744C69B54,SAMMAZ 16,Maize
EE809497-9CE1-4CF9-B5D0-064206AFAB1C,E9155862-1684-43FC-B386-EC9FEB7AE61B,TGX-1485-1D,Soybean
97985A94-4F99-470F-895C-06B2C4F3EB2C,6353556F-40FB-453B-B8C4-F38744C69B54,Oba Super 7,Maize
154E93AB-977F-4DEA-AE7D-07F79F9E74B2,171B61AF-0AF2-4B2A-8BF9-3EAACDB3EEF3,SAM-WHIT-5,Wheat
CA8718E2-824A-4E7A-8B70-085D22A38D0E,6353556F-40FB-453B-B8C4-F38744C69B54,NARZO-28,Maize
7207F1DF-ABD4-4B0A-A2C2-086B1DC63110,6353556F-40FB-453B-B8C4-F38744C69B54,SAMMAZ 50,Maize
7E6D4A07-ABBC-40C5-A268-09AC71994B9C,6D9F9C32-1DBB-4E52-A853-6646F72106B4,FARO-43,Rice
B538FE6E-385C-4D31-B693-09FD706E2217,6D9F9C32-1DBB-4E52-A853-6646F72106B4,FARO-26,Rice
31CE36C7-929E-42AE-B577-0A2BBD24A762,795EAD8F-39B2-4C21-8281-EE8E6066B5DA,Synthetic Series IV,Cocoa
24DECBAE-23CE-4A2D-B702-0A512636ACE8,751114EC-0C58-4B77-9BA6-DD7DA51181FB,SAMNUT-9,Groundnut
2F4EE727-5094-4C6F-BE14-0A51B7AB468E,1A4AE96B-BECE-425B-B8FC-FA1EF8914FF7,TDR 95/01924,Yam
60FA1CA7-1A2B-4BC8-9D86-0A66F8F14182,6353556F-40FB-453B-B8C4-F38744C69B54,SAMMAZ 31,Maize
BB9E9D4D-DEA9-4DE2-AACD-0A915F40ACE2,B99637AF-25F2-4984-B2DD-9D2EACDFA2D6,SAMTOM -12,Tomato
36980474-DE4F-43D3-B884-0AB4A5C7DB12,83962989-C0FE-4F48-9931-0334C79A451F,NCRIBEN-04E,Sesame
54B89789-870D-4D5E-917B-0C5B32D51AF4,6353556F-40FB-453B-B8C4-F38744C69B54,Ife Maizehyb-4,Maize
B1B84F80-BEAF-4CD2-9E2A-0DD2CB494A20,6D9F9C32-1DBB-4E52-A853-6646F72106B4,FARO 65,Rice
D8CE89C6-07A7-49D6-A594-0E69865DEE67,B99637AF-25F2-4984-B2DD-9D2EACDFA2D6,SAMTOM -10,Tomato
5F9149DA-CA85-41EA-8524-0E83EC4F223B,8AC3002A-7DF0-45B9-96E1-9FFE44AE6C8F,NIG-810,Rubber
2A67019F-0C7D-4110-B8F8-0F06205B658F,251358CD-F9F7-46D3-9212-A4709ADF6418,UMUCASS 42,Cassava
18DBD29D-15BE-4944-913F-0F619E7BAD97,8AC3002A-7DF0-45B9-96E1-9FFE44AE6C8F,NIG-806,Rubber
72BD9972-D1AE-4E45-9DE2-109562793090,6353556F-40FB-453B-B8C4-F38744C69B54,Ama TZBR-W,Maize
672E1D66-4598-4CEF-BAE8-10FCA6488AE0,751114EC-0C58-4B77-9BA6-DD7DA51181FB,SAMNUT-14,Groundnut
C17504BE-C492-4625-AA2A-117145CBAB71,A7141777-9A95-4699-88FD-D959D28AB30B,SAMPEA-5,Cowpea
B70E6480-A602-4D41-983A-11E3A3021185,6353556F-40FB-453B-B8C4-F38744C69B54,TZBR Eld 3-W,Maize
65BDECE5-F3C4-443C-9DE2-120647AE6DE3,6353556F-40FB-453B-B8C4-F38744C69B54,WHITE (POPCORN),Maize
5D94FCDB-4449-4817-AB84-120F76C15D09,11C83765-2DE6-4DE1-9714-1E62ADB695E8,NIFOR-WAT1,Coconut
1566BBF3-3CF0-4052-8B6E-126EC6458C3A,6353556F-40FB-453B-B8C4-F38744C69B54,SAMMAZ 36,Maize
