EDO
KADUNA
AKWA IBOM
ADAMAWA
BAUCHI
LAGOS
YOBE
IMO
KATSINA
BORNO
OYO
NIGER
RIVERS
FCT
PLATEAU
ONDO
KANO
OGUN
JIGAWA
KOGI
EKITI
DELTA
TARABA
KEBBI
KWARA
EBONYI
BAYELSA
BENUE
ANAMBRA
CROSS RIVER
OSUN
SOKOTO
NASARAWA
GOMBE
ENUGU
ZAMFARA
ABIA
